"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","25 - 29세",1695619,1712828,1695058,1679660,1655044,1634824,1600140,1530888,1453148,1393330,1310402,1231580,1202779,1202312,1186147,1184332
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","30 - 34세",1562091,1561344,1593655,1640746,1677571,1700142,1720458,1708959,1691835,1662224,1642320,1607878,1538807,1461190,1401442,1318577
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","35 - 39세",1867239,1775602,1673805,1599400,1565915,1561026,1563003,1599017,1641430,1673441,1696247,1716741,1705462,1688540,1659105,1639342
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","40 - 44세",1892398,1923936,1967944,1979185,1954043,1865133,1777225,1679979,1603289,1566465,1561857,1564060,1600168,1642640,1674745,1697670
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","45 - 49세",2159864,2075715,2000130,1931529,1880851,1896876,1931068,1978902,1992154,1964845,1876481,1788912,1691938,1615403,1578676,1574166
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","50 - 54세",2160734,2204543,2231491,2244211,2207260,2159961,2078372,2006066,1939333,1886820,1903214,1937795,1985959,1999599,1972641,1884653
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","55 - 59세",2115505,2045289,2045845,2036303,2128595,2149934,2195822,2223924,2236965,2198286,2151795,2071090,1999482,1933414,1881480,1898159
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","60 - 64세",1937587,2065374,2105499,2156283,2128317,2093298,2027038,2028198,2017734,2107184,2129324,2175663,2204292,2217922,2180177,2134467
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","65 - 69세",1382094,1500680,1585781,1689360,1808456,1901240,2029453,2069927,2120242,2091831,2058363,1994142,1996155,1986894,2076228,2099081
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","70 - 74세",1061419,1115186,1152098,1189249,1235014,1341351,1458458,1542767,1644452,1760576,1852958,1979757,2020405,2070817,2043894,2012519
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","75 - 79세",922655,891575,899933,914385,954783,1003597,1054535,1091981,1129185,1173892,1277606,1390287,1472618,1571357,1683664,1774829
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","80세이상",1264777,1339497,1418722,1496593,1552667,1606745,1628863,1708753,1784742,1854732,1929006,1976284,2065589,2151741,2239668,2386685
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","80 - 84세",696308,719722,762492,800915,804085,807688,781117,794818,812319,850337,895954,940434,977216,1013554,1056285,1154047
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","85 - 89세",385986,421203,445118,468271,499163,522057,542906,582302,616021,619371,622682,601359,617793,637043,669816,708170
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","90 - 94세",145710,158017,168603,180821,196922,218180,240479,259706,276707,296778,311700,325528,351975,373906,375838,377870
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","95 - 99세",32281,35223,36739,40044,46194,52293,57291,63880,70375,77519,86583,95756,103741,110701,119335,125878
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","전국","여자","100세 이상",4492,5332,5770,6542,6303,6527,7070,8047,9320,10727,12087,13207,14864,16537,18394,20720
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","계",9617795,9507905,9421415,9400365,9393699,9339904,9286528,9235940,9187423,9140710,9096161,9054005,9013737,8975214,8938256,8902414
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","0 - 4세",289085,258701,237243,218633,202023,187219,175896,170524,171216,176584,185930,196422,205981,214562,222002,228276
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","5 - 9세",346887,334940,317272,298048,282354,259252,235915,217004,200616,185611,172838,163066,158417,158933,163539,171776
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","10 - 14세",352626,352382,348165,340540,335814,333384,325186,311323,293267,276523,254451,231993,213775,198071,183735,171532
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","15 - 19세",424664,390114,377669,374053,365130,357546,359281,358273,351853,346757,345189,337719,324052,306232,289693,267839
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","20 - 24세",669977,645731,616641,599242,585574,551759,513527,492446,482739,470339,465293,470114,471440,465619,461191,461030
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","25 - 29세",829972,835559,824404,825754,818006,810664,797672,771573,738062,707676,666989,624088,603146,596957,587607,584265
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","30 - 34세",736333,733621,747347,777149,797306,811466,825149,821670,815364,803805,794284,779702,750913,715320,685175,645878
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","35 - 39세",757489,719537,681638,659004,652930,654432,658134,678022,701389,717504,730227,742081,737473,730919,719307,710311
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","40 - 44세",706362,711488,720116,722138,716786,686497,658324,627564,604778,595852,598317,602362,621440,643006,657806,669719
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","45 - 49세",799497,754184,716246,684387,664529,666440,676937,689043,692616,684927,656564,630350,601153,579657,571566,574370
